问题ID,热度,标题,摘录
1970080235845326398,106,如何看待某博主连线马来西亚高中生，发现对方连 4×6 都算不对？,中国博主连线马来西亚高中生，快乐教育下学生基础薄弱
664880414,105,皇帝是真的把夏雨荷忘记了，还是压根就没打算给她名分？,
1970802286071604877,105,央视披露南京 15 死火灾现场，10 人被采取刑事强制措施，事故暴露的哪些安全问题？日常如何防范？,2024 年 2 月 23 日，江苏南京明尚西苑小区 6 号楼一楼架空层的电动车凌晨起火，火势通过天井烟囱效应迅速蔓延至高层，致 15 人死亡、 44 人受伤。涉事车主违规改装电动自行车、使用网购超标大容量锂离子电池，住户在采光通风天井内违章搭建平台并堆放可燃物，居民楼内自动感烟报警系统未启动，物业日常管理混乱、初期处置不力…「小隐患」累积叠加，最终酿成惨剧！看事发现场视频↓↓警惕！ 警惕！网购电动自行车电池起火 15 人遇难 火灾现场披露
342111256,104,为什么金庸小说里降龙十八掌失传了？,字面意思看，降龙十八掌可以理解为包含了十八种招式的掌法吧。丐帮庞大的人口基数，应该可以保证一定人才梯队建设。虽然不一定每代帮主都能达到江湖顶级水平，但是二流的实力应该还是有的吧。按照金庸小说的设定，江湖上二流水平的高手，比如全真七子，武当七侠，慕容复，丁春秋，五岳掌门这种，资质应该不算很差。那么他们即使是死记硬背，做到降龙十八掌的传承应该没什么问题吧？为什么小说里，这套震帮绝学会失传呢？ 另外，降龙掌似乎没有特定对应的内功心法。那么要想真正掌握这套章法，没有足够的内功基础，是否门槛过高？难道历代丐帮人才都没能开发出一套对应的内功心法来发挥辅助降龙十八掌的修炼吗？
342567770,98,《潜伏》里的余则成为何不直接杀李海丰，还要和他对话？,李海丰抬起头就可以杀，因为之前司机直接就被打死。最晚也是下车后开枪。为何还要跑过去？这样李海丰逃走的可能性变大
1969373739675263311,95,如何看待「人民咖啡馆」致歉更名，却仅在招牌上加「小字」？大陆地区整改，港澳及海外仍保留是何用意？,近日，以「用咖啡讲述中国故事」为特色的「人民咖啡馆」在全国 18 省 20 市开设近 30 家门店，成为社交平台打卡新地标。然而，其母公司要潮文化多次申请「人民咖啡馆」商标均被驳回，目前仅持有「潮人民咖啡馆」等商标。 律师指出，「人民」一词具有鲜明公共属性和政治内涵，单独作为商业标识大规模使用，可能构成《商标法》中「有其他不良影响」的情形，存在法律风险。经观 11 月 7 日，人民网评发表评论文章《「人民咖啡馆」，不妥！》。评论称，「人民」一词具有鲜明的公共属性和深厚的政治内涵，承载着特定的社会情感与公共利益，不容亵渎，更不能被滥用。 11 月 8 日上午，要潮人民咖啡馆发布声明称，向每一位受到伤害的消费者致以最诚挚的歉意，全面启动对线上线下物料的整改工作，将中国大陆地区所有门店门头加上「要潮」，所有宣传中也规范使用「要潮人民咖啡馆」。 值得注意的是，即便「人民咖啡馆」承诺整改，也的确在更改店招，但其做法仍存在「换汤不换药」之嫌。仅仅在原有招牌左上角添加小字号的「要潮」，且字体字号与主体部分明显不协调，难以起到区分作用。一眼望去，「人民咖啡馆」依然是视觉焦点。此外，其咖啡杯「人民咖啡馆」标识、咖啡袋「人民万岁万岁万万岁」、店内滚动横幅「江山就是人民，人民就是江山，打江山、守江山，守的是人民的心」宣传语等仍然存在。 另，在致歉声明中，「人民咖啡馆」也只表示要在中国大陆地区迅速调整店名，中国香港、中国澳门地区及海外地区仍保留「人民咖啡馆」名称。
1971569294698578085,93,人民空军成立 76 周年，主题微电影披露攻击 -11 等新机型，有人无人协同画面首次亮相，释放哪些信息？,今年是人民空军成立 76 周年。11 月 11 日，人民空军发布主题微电影《梦远》。微电影《梦远》以机场旁边平凡一家人的视角，侧面勾画出人民空军建设发展历程，反映空军官兵履行使命、昂扬奋进的精神风貌，展示「人民空军为人民，人民空军人民爱」的细腻情感。其中，攻击 -11 霸气亮相，有人无人协同画面首次亮相。
1971483005156549831,90,央美学生被指抄袭还获一等奖学金，校方回应称正在处理中，具体是怎么回事？若属实该学生将承担哪些责任？,日前，四川美术学院的一名研究生指出自己的作品涉嫌被中央美术学院的一名学生抄袭。这名涉嫌抄袭的学生，还获得了学校的一等奖学金。11 月 10 日，记者联系上反映作品被抄袭的魏同学，她向记者讲述了事情的经过。同日，中央美术学院党委宣传部工作人员告诉记者，学校已经知悉这件事情，目前正在处理中。 事情要从今年的 7 月份开始说起。魏同学回忆，当时她在短视频平台上，刷到了一个央美同学的作品，与自己的一幅作品高度相似。魏同学向现代快报记者展示了一张照片，这幅作品是以该照片为原型创作的。「今年是 2025 年，我家狗狗今年正好 10 岁了，我就拿以前一张和狗狗‘握爪’的照片为原型，画了这幅作品。对我来说非常有意义。2 月，我把这幅作品发布在了社交平台上。」 之后，魏同学找到上述涉嫌抄袭的同学所在的城市设计学院的任课老师反映情况，这名同学也向魏同学致歉了，并且获得了谅解。事情到这里本该告一段落。但就在上个星期，魏同学得知该同学竟然获得了学校的一等奖学金。魏同学非常气愤，她觉得涉嫌抄袭的学生，获得一等奖学金对于其他学生来说非常不公平。 11 月 9 日，魏同学已向中央美术学院纪委办公室举报邮箱发去一封举报信，并提交了相关美术作品作为证据。截至记者发稿前，中央美术学院纪委办公室尚未给出任何回应。 央美学生被指抄袭还获一等奖学金，中央美术学院：知悉这件事情，目前正在处理中
1971171531817187134,84,如何评价《英雄联盟》暗裔英雄「亚恒」的技能设定？,
6903972419,72,你赞同「看小说不需要带脑子和三观」的观点吗？,
1971153219230066622,70,美股 AI 科技股遭惨烈一周，英伟达等八巨头市值缩水 8000 亿美元，会否重蹈互联网泡沫的走势？,11 月 8 日，据《金融时报》报道，自上周五以来，与 AI 热潮密切相关的美国公司市值累计蒸发近 1 万亿美元，创下自特朗普 4 月宣布「解放日」关税以来科技股表现最差的一周。 美国八家最具价值的 AI 相关公司的总市值，自上周末以来已下跌约 8000 亿美元 (约合 5.7 万亿元人民币)。这八家公司是英伟达、微软、亚马逊、谷歌母公司 Alphabet 、 Meta 、甲骨文、博通、 Palantir。 这些公司的下跌拖累以科技股为主的纳斯达克综合指数本周下跌 3%，创下自 4 月特朗普借助对等关税掀起贸易战、导致该指数暴跌 10% 以来表现最糟的五天。 「与 AI 相关的资本支出规模庞大，且越来越多地依赖债务融资，这种情形令人联想到 2000 年科技泡沫时期那种盲目投资的热潮。」隆奥投资管理公司宏观研究主管弗洛里安・耶尔波 (Florian Ielpo) 表示。 按美元计算，全球市值最高的英伟达本周缩水最多。成为首家突破 5 万亿美元市值的上市公司仅一周多，英伟达市值已缩水约 3500 亿美元。尽管周五尾盘市场趋于稳定，但微软、甲骨文和博通的股价本周同样遭遇下跌。（来源：IT 之家）
661266271,68,唯 s 赛冠军论是否一定程度上影响了英雄联盟常规赛事的热度？,唯 s 赛冠军论，像 mlxg，uzi，clearlove，gala 等强力选手已经没有热度，包括新人选手如 tianzhen，zika，shanji，xiaohao，milkyway，knight 等，热度也很低。 我们是否可以认为，英雄联盟赛事已经是赢家通吃的资本玩法，而忽略了常规赛事的良性循环？ 导致常规赛事热度减少，且没有故事可以讲了。
28606213,67,硬拉到底是练腿还是练背？,有的人说主要练腿，有的人说主要练背。 每次做的都是半程硬拉，我的感觉是起始发力主要靠腿部力量，后面顶峰是背部，但是练完第二第三天是腰疼……
1971137873269977326,67,中储粮库坍塌致 7 死事故调查报告公布，施工中有多处违规，12 人被采取强制措施，怎样从法律角度解读？,2024 年 12 月 3 日 13 时 53 分许，济宁市金乡县中储粮济宁直属库有限公司金乡分公司粮食仓储项目伞形桁架平台发生一起较大坍塌事故，造成 7 人死亡、 1 人重伤，直接经济损失 1346.5 万元。 近日，《济宁金乡中储粮济宁直属库粮食仓储项目「12·3」较大伞形桁架坍塌事故调查报告》（以下简称《调查报告》）公布，经调查认定，该事故是一起因伞形桁架拆除作业过程中钢丝绳规格选用错误、存在损伤缺陷、绑扎方式不合理，电动葫芦吊点设置不当、违规单点提升，伞形桁架上违规堆载材料等因素，施工分包、总承包、监理、建设单位安全管理混乱，属地党委、政府和有关部门履职不到位，造成的较大生产安全责任事故。 经过综合分析，钢丝绳规格选用错误、钢丝绳存在损伤缺陷、吊点设置不当、钢丝绳绑扎方式不合理、伞形桁架上方材料堆载、违规进行单点提升等，综合导致局部受力不均，超过钢丝绳承载极限，钢丝绳陆续断裂，伞形桁架和人员坠落是造成事故发生的直接原因。 中储粮项目坍塌事故致 7 死 1 伤，调查报告公布
1971498414668744306,66,巴菲特发布最后一封致股东信，称将不再撰写伯克希尔年报，也不再在年度大会上讲话，还有哪些信息值得关注?,当地时间周一，即将卸任的伯克希尔哈撒韦公司 CEO 沃伦·巴菲特发布感恩节致股东信，表示将加速向子女的基金会转移其 1490 亿美元遗产，同时保留足够的伯克希尔 A 类股份，帮助接班人格雷格·阿贝尔赢得股东信心。 这位传奇投资者在信中花了一些时间批评了美国监管机构要求上市公司将 CEO 的薪酬与普通员工的薪酬进行比较的规定。 「良好的意图没有起作用，反而适得其反，」他在信中说。 巴菲特表示，将不再撰写伯克希尔年度报告，也不再在年度大会上讲话。巴菲特想保留大量 A 类股，直到伯克希尔股东对格雷格感到满意。谢幕，巴菲特发布最后一封致股东信（全文）
1971160763554064090,66,韩国前总统尹锡悦被以「一般利敌罪」追加起诉，这是一种什么罪名？若定罪，他将面临什么？,据 CCTV 国际时讯，韩国特检组今天（11 月 10 日）以「一般利敌罪」及滥用职权等嫌疑追加起诉前总统尹锡悦。经观
1970998781324529762,66,初三儿子哭着说课堂完全听不懂，想请一对一辅导。丈夫坚决反对，说课堂不听，补课就是浪费钱。我该怎么办？,我是一个心力交瘁的初三妈妈，正面临一个艰难的家庭抉择，想听听大家的看法。 儿子今年初三，成绩一直不好，我和他爸没少为这事操心。但就在上周，儿子主动找到我们，非常沮丧地说，他在课堂上已经完全跟不上了，老师讲的像天书，他真的很焦虑，主动提出想请一个一对一的家教，帮他从头梳理一下。 我当时心里一震，一是心疼孩子，二是觉得孩子至少没自暴自弃，还知道主动求助。 但当我和他爸商量时，爆发了激烈的争吵。他爸坚决反对，理由和题主描述里一模一样：「连课堂都不好好听，出去补课就是白扔钱！态度不行，补什么都白搭！」 他认为这是儿子为不想努力找的借口，甚至觉得是我在溺爱孩子。 我理解丈夫担心花钱没效果，家里的经济也不算特别宽裕。但我更看到的是： 1. 这是儿子第一次如此清晰、主动地求救，我如果拒绝他，是不是亲手把他最后一点希望和动力都给掐灭了？ 2. 他不是不想学，是积压的问题太多，真的听不懂了，这难道不是更需要专业帮助的时候吗？ 3. 初三了，时间不等人，再拖下去，可能就真的来不及了。 我现在夹在中间，无比痛苦。一边是孩子的未来和心理健康，一边是丈夫的固执和家庭的和睦。 想请问知乎的各位： · 我丈夫的这种想法，是普遍现象吗？到底有没有道理？ · 作为母亲，我该如何说服我丈夫？或者，有没有两全其美的办法？ · 遇到这种情况，除了请一对一，还有没有其他更有效的补救路径？ 真的希望能听到一些中肯的建议，或者有类似经历的朋友分享你们的故事。谢谢大家！
1962123361762145814,62,为什么书法界会排斥「江湖体」？,最近李明同学的书法字在网上引起了争议，网友纷纷认为李明的江湖体更受大众喜爱反而那种书法大师的字欣赏不来，而一些专业的书法人士则认为李明同学的江湖体艺术价值低不应该赞扬。在权威的审美和大众的审美来说什么才是对的？还有就是好奇一件事为什么「江湖体」不可以作为一种书法的创新字体？
619303103,62,小孩子说过哪些有趣的童言稚语呢？,小侄子的手受伤了， 爸爸问他：手怎么弄伤的？是针弄到了吗？ 小侄子说，不是真的，是假的。 小孩子们还说过哪些童言稚语呢？ 一起分享一下吧！
1967149584745751123,62,葡萄美酒夜光杯，欲饮琵琶马上催。我国唐代就有葡萄酒的说法，为什么现在葡萄酒变成了洋酒呢?,
